company,ticker,published_at,document_subtype,period,fiscal_year,fiscal_quarter,period_length_months,source_file,net_sales_usd_m,cost_of_sales_usd_m,gross_profit_usd_m,gross_margin_pct,sga_usd_m,depreciation_amortization_usd_m,operating_income_usd_m,operating_margin_pct,interest_expense_usd_m,tax_provision_usd_m,effective_tax_rate_pct,net_earnings_usd_m,basic_eps_usd,diluted_eps_gaap_usd,basic_weighted_avg_shares_m,diluted_weighted_avg_shares_m,cash_and_equivalents_usd_m,receivables_usd_m,merchandise_inventory_usd_m,capex_usd_m,operating_cash_flow_usd_m,dividends_paid_usd_m,long_term_debt_usd_m
Home Depot,HD,2015-02-24,10-K,FY 2014,2014,,12,filings/2015-02-24__hd-us-20150224-q4-10k__437577.md,100,54222,34.8,,20.2,2,12.6,,1,4.4,,7.6,4.74,4.71,,1346,1723,1484,11079,1442,8242,1743,16869
Home Depot,HD,2015-02-24,8-K,FY 2014,2014,,12,filings/2015-02-24__hd-us-20150224-q4-8k__437618.md,19162,12439,6723,,4125,407,2191,,213,714,,1379,1.06,1.05,,1314,1723,1484,11079,,,,16869
Home Depot,HD,2015-03-26,10-K,FY 2014,2014,,12,filings/2015-03-26__hd-us-20150326-fy-10k__778728.md,100,54222,34.8,,20.2,2,12.6,,1,4.4,,7.6,4.74,4.71,,1346,1723,1484,11079,1442,8242,1743,16869
Home Depot,HD,2015-05-19,10-Q,Q1 2015,2015,Q1,3,filings/2015-05-19__hd-us-20150519-q1-10q__437643.md,20891,13712,7179,,4163,419,2597,,197,825,,1579,1.22,1.21,,1305,2827,1839,12306,322,3404,769,13818
Home Depot,HD,2015-05-19,8-K,Q1 2015,2015,Q1,3,filings/2015-05-19__hd-us-20150519-q1-8k__437617.md,20891,13712,7179,,4163,419,2597,,197,825,,1579,1.22,1.21,,1305,2827,1839,12306,322,3404,769,13818
Home Depot,HD,2015-08-18,10-Q,Q2 2015,2015,Q2,3,filings/2015-08-18__hd-us-20150818-q2-10q__437645.md,24829,16464,8365,,4299,419,3647,,233,1329,,2234,1.74,1.73,,1289,4936,1696,11859,705,5934,1533,16318
Home Depot,HD,2015-08-18,8-K,Q2 2015,2015,Q2,3,filings/2015-08-18__hd-us-20150818-q2-8k__437615.md,24829,16464,8365,,,419,3647,,233,1329,,2234,1.74,1.73,,1289,4936,1696,11859,705,5934,1533,16318
Home Depot,HD,2015-11-17,10-Q,Q3 2015,2015,Q3,3,filings/2015-11-17__hd-us-20151117-q3-10q__437636.md,21819,14254,7565,,4161,423,2981,,247,1016,,1725,1.36,1.35,,1274,3040,1942,12495,1083,7366,2287,17815
Home Depot,HD,2015-11-17,8-K,Q3 2015 and FY 2015 Guidance,2015,Q3,12,filings/2015-11-17__hd-us-20151117-q3-8k__437613.md,21819,14254,7565,,4161,423,2981,,247,1016,,1725,1.36,1.35,,1274,3040,1942,12495,1083,7366,,17815
Home Depot,HD,2016-02-23,10-K,FY 2015,2015,,12,filings/2016-02-23__hd-us-20160223-q4-10k__437576.md,100,58254,34.2,,19,1.9,13.3,,1,4.5,,7.9,5.49,5.46,,1283,2216,1890,11809,1503,9373,2243,20888
Home Depot,HD,2016-02-23,8-K,FY 2015,2015,,12,filings/2016-02-23__hd-us-20160223-q4-8k__437611.md,20980,13824,,,,429,2549,,242,842,,1471,1.17,1.17,,1259,2216,1890,11809,1503,9373,,17913
Home Depot,HD,2016-03-24,10-K,FY 2015,2015,,12,filings/2016-03-24__hd-us-20160324-fy-10k__778689.md,100,58254,34.2,,19,1.9,13.3,,1,4.5,,7.9,5.49,5.46,,1283,2216,1890,11809,1503,9373,2243,20888
